FOOD_STORED	음식
LUMBER_STORED	목재
COAL_STORED	광물
PETROL_STORED	석유
CONSTRUCTION_RESOURCE	건설 자원
OPERATION_RESOURCE	운영 자원
OPERATION_RESOURCE_LEFT	남은 운영 자원
TRANSFER_CONSTRUCTION_RESOURCE_TO	로 건설 자원 배송중
TRANSFER_OPERATION_RESOURCE_TO	로 운영 자원 배송중
GOING_FOR_FUEL_TO	주유소 가는 중
BUILDING_TYPE	건물 기능
NORMAL_BUILDING	보통 건물
GENERATE_BOTH_RESOURCES	두 종류 자원 생산
GENERATE_CONSTRUCTION_RESOURCES	건설 자원 생산
GENERATE_OPERATION_RESOURCES	운영 자원 생산
NONEED_RESOURCE	자원 필요 없음
DEBUG_MODE	디버그 UI
SHOW_LACK_OF_RESOURCE	건설 자원 부족시 건물에 자원부족 아이콘 표시
FIX_UNROUTED_TRANSFER_MATCH_DESCRIPTION	도로 네트워크가 부서진 구역이 있을 경우, 경로가 미 지정된 수송 매치 수정함
FIX_UNROUTED_TRANSFER_MATCH_ENALBE	경로가 미 지정된 수송 매치 수정 활성화
OPERATION_RESOURCE_CONSUMPTION	운영 중 자원 소비 속도
NORMAL	보통
HALF	절반
NONE	없음
